iter	Passed	Remaining
404	6880	10108
405	6898	10092
406	6913	10073
407	6929	10055
408	6945	10036
409	6962	10019
410	6980	10004
411	6999	9990
412	7017	9973
413	7035	9958
414	7051	9940
415	7070	9926
416	7091	9914
417	7108	9897
418	7127	9882
419	7145	9867
420	7165	9854
421	7192	9851
422	7212	9837
423	7232	9825
424	7249	9808
425	7269	9794
426	7295	9790
427	7315	9776
428	7335	9763
429	7359	9756
430	7378	9741
431	7399	9729
432	7417	9712
433	7435	9696
434	7450	9677
435	7468	9661
436	7487	9646
437	7505	9629
438	7527	9619
439	7544	9601
440	7565	9589
441	7582	9571
442	7599	9554
443	7614	9535
444	7631	9518
445	7648	9500
446	7665	9482
447	7681	9464
448	7701	9450
449	7720	9436
450	7737	9418
451	7754	9400
452	7771	9384
453	7789	9367
454	7807	9351
455	7826	9337
456	7842	9318
457	7860	9302
458	7888	9297
459	7907	9283
460	7925	9266
461	7941	9247
462	7959	9231
463	7976	9213
464	7997	9201
465	8016	9186
466	8031	9166
467	8048	9149
468	8067	9133
469	8085	9117
470	8104	9102
471	8124	9088
472	8140	9069
473	8157	9052
474	8174	9034
475	8191	9017
476	8206	8998
477	8223	8980
478	8239	8961
479	8259	8947
480	8278	8932
481	8293	8913
482	8312	8897
483	8328	8878
484	8345	8861
485	8366	8848
486	8384	8831
487	8401	8815
488	8420	8799
489	8451	8796
490	8468	8779
491	8491	8767
492	8510	8752
493	8523	8730
494	8542	8715
495	8561	8699
496	8580	8683
497	8595	8664
498	8611	8645
499	8626	8626
500	8642	8607
501	8657	8588
502	8671	8568
503	8683	8545
504	8697	8524
505	8712	8505
506	8727	8486
507	8746	8470
508	8764	8454
509	8782	8438
510	8799	8420
511	8816	8403
512	8831	8384
513	8847	8365
514	8861	8344
515	8875	8325
516	8888	8303
517	8905	8286
518	8922	8268
519	8940	8252
520	8956	8234
521	8974	8217
522	8991	8200
523	9006	8181
524	9022	8162
525	9052	8157
526	9108	8175
527	9137	8168
528	9153	8150
529	9171	8133
530	9186	8113
531	9201	8094
532	9213	8072
533	9227	8052
534	9244	8034
535	9257	8013
536	9272	7994
537	9285	7973
538	9298	7952
539	9310	7931
540	9323	7910
541	9338	7891
542	9356	7874
543	9377	7860
544	9398	7846
545	9416	7830
546	9445	7821
547	9466	7807
548	9483	7790
549	9502	7774
550	9518	7756
551	9539	7742
552	9554	7723
553	9571	7705
554	9585	7685
555	9600	7666
556	9612	7645
557	9625	7624
558	9638	7604
559	9654	7585
560	9670	7567
561	9684	7547
562	9699	7528
563	9713	7509
564	9727	7489
565	9739	7468
566	9752	7447
567	9829	7475
568	9871	7477
569	9891	7462
